Date of Cartoon,Title,Major Subject
"Sunday, January 3, 1954","""When Do They Open Place, Anyhow?""",Congress
"Monday, January 4, 1954","""What's The State Of The Political Union?""",Eisenhower Administration
"Tuesday, January 5, 1954","""A Spot Like This Might Be Just The Place For It""",Cold War
"Wednesday, January 6, 1954","""There Must Be Something I can Do About This""",Congress
"Thursday, January 7, 1954","""Well, We Got Back Most Of That Missing $160,000 --""",Eisenhower Administration
"Friday, January 8, 1954","""I'll Compromise And Make The Chain A Little Longer""",Eisenhower Administration
"Sunday, January 10, 1954","""I've Been Waiting At That Other Door For 30 Years""",Congress
"Monday, January 11, 1954","""All Clear On The First Tee""",Eisenhower Administration
"Tuesday, January 12, 1954","""That's Enough For Right Now, Chief""",Eisenhower Administration
"Wednesday, January 13, 1954","""We Should Have Taken A Vote First, Ourselves""",Congress
"Thursday, January 14, 1954","""Come In, Ezra -- How's the Weather Out There?""",Eisenhower Administration
"Friday, January 15, 1954","""What Does He Think We Are -- Legislators?""",Congress
"Sunday, January 17, 1954","""Hail To The Chief! Fire Away!""",Congress
"Monday, January 18, 1954","""Ah, It Smells Much Sweeter Now""",Eisenhower Administration
"Tuesday, January 19, 1954","""Gosh, It Isn't Even Safe To Resign Any More""",Eisenhower Administration
"Wednesday, January 20, 1954",3-D,Supreme Court
"Thursday, January 21, 1954",[Untitled],Eisenhower Administration
"Friday, January 22, 1954","""Bossy, What Sharp Horns You Have""",Eisenhower Administration
"Sunday, January 24, 1954","""I Think The Rest Of The Crowd Has Gone Down""",US Economy
"Monday, January 25, 1954","""The Peacemakers Are Here""",Eisenhower Administration
"Tuesday, January 26, 1954","""You Know, You Fellows Really Ought To Reform""",Congress
"Wednesday, January 27, 1954","""Any Agreements Yet With Russia Or Bricker?""",Eisenhower Administration
"Thursday, January 28, 1954","""Friend Of Yours?""",Cold War
"Friday, January 29, 1954","""Don't Worry, Friend -- I'll Get You There""",United Nations
"Sunday, January 31, 1954","""Never Mind What's On My Mind""",US Economy
"Monday, February 1, 1954","""Now, Don't Be Shocked""",Eisenhower Administration
"Tuesday, February 2, 1954","""Mind If I Look Over Your Shoulder?""","Congressional Elections, 1954"
"Wednesday, February 3, 1954","""Anybody Care For Some More Butter?""",Republican Party
"Thursday, February 4, 1954","""Want A Suggestion?""",Senate
"Friday, February 5, 1954",Spotlight,Second Red Scare
"Sunday, February 7, 1954",Post Office,Eisenhower Administration
"Monday, February 8, 1954","""Oh, No -- Not That Number Again""",Eisenhower Administration
"Tuesday, February 9, 1954","""Louder!""",Cold War
"Wednesday, February 10, 1954","""It Seems To Be Stopped Up Somewhere""",Eisenhower Administration
"Thursday, February 11, 1954","""I Keep Getting Struck""",Eisenhower Administration
"Friday, February 12, 1954","""You Know And I Know, But Does Your Dog Know?""",Eisenhower Administration
"Sunday, February 14, 1954","""Cheer Up -- They've Found A Controversial Figure""",Second Red Scare
"Monday, February 15, 1954","""There's Been Talk He Believes In The Bill Of Rights""",Supreme Court
"Tuesday, February 16, 1954","""I Hear There's Something Wrong With Your Morale""",Eisenhower Administration
"Wednesday, February 17, 1954","""It's A Product Something Like Margarine""",Eisenhower Administration
"Thursday, February 18, 1954","""He Said 'Recession'""",Eisenhower Administration
"Friday, February 19, 1954","""Well, Nothing Ventured, Nothing Gained""",Korean War
"Sunday, February 21, 1954","""Care To Hear Something?""",Eisenhower Administration
"Monday, February 22, 1954","""Hurry Up With That Dragon. The Audience Is Getting Impatient""",Eisenhower Administration
"Tuesday, February 23, 1954","""Farm Program's Coming""",Eisenhower Administration
"Wednesday, February 24, 1954",Greatest Deliberative Body In The World,Senate
"Thursday, February 25, 1954","""Okay, Bud. When I Want You Again I'll Send For You""",Second Red Scare
"Friday, February 26, 1954","""And I'd Still Like To See You Become President""",Second Red Scare
"Sunday, February 28, 1954","""We've Got To Avoid A Split With Him""",Eisenhower Administration
"Monday, March 1, 1954","""Yeah, We Really Ought To Do Something About It""",Congress
"Tuesday, March 2, 1954",Solution To Nothing,Terrorism
"Wednesday, March 3, 1954","""We Caught A Whale But It Shrank""",Congress
"Thursday, March 4, 1954","""Have A Care, Sir""",Eisenhower Administration
"Friday, March 5, 1954","""Yeah -- I've Been Cut Up A Little, Too""",Congress
"Sunday, March 7, 1954","""Relax -- He Hasn't Got To You Yet""",Second Red Scare
"Monday, March 8, 1954","""They're Thinking Of Backing Up Now""",Congress
"Tuesday, March 9, 1954","""I've Been Doing A Good Deal Of Running Already""",Republican Party
"Wednesday, March 10, 1954","""Fair Is Fair""",Senate
"Thursday, March 11, 1954",The Big Ones That Always Get Away,Congress
"Friday, March 12, 1954","""I'd Have Said To Those Reds, 'Now, See Here! ...'""",Korean War
"Sunday, March 14, 1954","""How Deep Do You Think It Goes?""",Eisenhower Administration
"Monday, March 15, 1954","""I'll Be Glad To Appear Before This Gentleman's Committee""",Second Red Scare
"Tuesday, March 16, 1954","""Any Time For This Speaking Engagement?""",Second Red Scare
"Wednesday, March 17, 1954","""I Think We've Been Had""",Second Red Scare
"Thursday, March 18, 1954","""Ahem!""",Senate
"Friday, March 19, 1954",Scissors At Sunrise,Congress
"Sunday, March 21, 1954",One More Spring,Nuclear Weapons
"Monday, March 22, 1954","Okay, Amigo. Now How About The Ship To Go Under It?'",Eisenhower Administration
"Tuesday, March 23, 1954","""Anything Definite Yet?""",Eisenhower Administration
"Wednesday, March 24, 1954","""I'm Tired""",Congress
"Thursday, March 25, 1954","""You Can Sit On The Floor""",Second Red Scare
"Friday, March 26, 1954","""Come Come, Now -- Let's See How Clever You Are""",Eisenhower Administration
"Sunday, March 28, 1954","""What's Next On The Schedule, Men?""",Congress
"Monday, March 29, 1954",[Untitled],Soviet Union
"Tuesday, March 30, 1954","""We're Off!""",Eisenhower Administration
"Wednesday, March 31, 1954","""Say, That H-Bomb Is Dangerous""",Eisenhower Administration
"Thursday, April 1, 1954",Creeping Localism,Special Interests
"Friday, April 2, 1954","""They're Still Out There""",Senate
"Sunday, April 4, 1954","""The Referee Is Almost Ready Now ...""",Second Red Scare
"Monday, April 5, 1954","""Drop Dead""",Congress
"Tuesday, April 6, 1954","""You Mean You Won't Swear Me In As A Deputy?""",NATO
"Wednesday, April 7, 1954",Neighborhood Notes,Nuclear Weapons
"Thursday, April 8, 1954","""That's Nothing -- They Let Us Give Away Stuff We Don't Even Have""",Supreme Court
"Friday, April 9, 1954","""Any Program For 'United Action' Here?""",Eisenhower Administration
"Sunday, April 11, 1954","""Anything New On Trade Policies?""",Eisenhower Administration
"Monday, April 12, 1954","""You Disloyal American! You Communist!""",Second Red Scare
"Tuesday, April 13, 1954","""You Thinking About My Security Or Yours?""",Eisenhower Administration
"Tuesday, April 13, 1954","""Let's See -- We Could Put Up Some New Post Offices""",Congress
"Wednesday, April 14, 1954","""How About Sending Them A Flag?""",First Indochina War
"Thursday, April 15, 1954","""Who's Being Walled Off From What?""",Eisenhower Administration
"Friday, April 16, 1954","""Let's See -- New Zealand, Thailand, Knowland --""",Eisenhower Administration
"Saturday, April 17, 1954","""GM Gets Along Without Atomic Scientists""",Eisenhower Administration
"Sunday, April 18, 1954",[Untitled],Army-McCarthy Hearings
"Monday, April 19, 1954",Man On The Eiffel Tower,France
"Tuesday, April 20, 1954","""I Hope The Russians Are As Confused As I Am""",Eisenhower Administration
"Wednesday, April 21, 1954","""Just A Minute, Brother -- I Was Here First""",World Stability
"Thursday, April 22, 1954","""Here Goes""",Army-McCarthy Hearings
"Friday, April 23, 1954","""What's The Latest On The Jungle Wars?""",Congress
"Sunday, April 25, 1954","""AND What's New With You?""",Eisenhower Administration
"Monday, April 26, 1954",[Untitled],Congress
"Tuesday, April 27, 1954","""Quick, Officer -- They Went That Way""",Senate
"Wednesday, April 28, 1954","""What's Our Firm, Unswerving Asia Policy This Week?""",Eisenhower Administration
"Thursday, April 29, 1954",Area Of Agreement,Cold War
"Friday, April 30, 1954","""Anybody Home Here?""",Eisenhower Administration
"Friday, April 30, 1954","""Just In Case Of Fire, Where's The Nearest Exit?""",Senate
"Sunday, May 2, 1954",[Untitled],Eisenhower Administration
"Monday, May 3, 1954","""I Took A Back Seat, Didn't I?""",Senate
"Tuesday, May 4, 1954",News From Abroad,Eisenhower Administration
"Wednesday, May 5, 1954",[Untitled],Army-McCarthy Hearings
"Thursday, May 6, 1954","""Surprise""",Congress
"Friday, May 7, 1954","""I Have Here In My Hand --""",Senate
"Sunday, May 9, 1954","""You Remember Us. We Helped In The 1952 Campaign""",Eisenhower Administration
"Monday, May 10, 1954","""Kind Sir, I Am A Poor Little Shepherd Maid""",Congress
"Tuesday, May 11, 1954","""Beat It. We're Getting Material For McCarthy""",Army-McCarthy Hearings
"Wednesday, May 12, 1954","""Wouldn't You Rather See A Ball Game Or Something?""",Senate
"Thursday, May 13, 1954","""You Can Go To School A Few Years From Now""",Eisenhower Administration
"Friday, May 14, 1954","""Shall We Talk Sense Now?""",Eisenhower Administration
"Sunday, May 16, 1954","""Nope -- We're Putting On McCarthy And Cohn Instead",Army-McCarthy Hearings
"Monday, May 17, 1954","""Run Along And Shoot Pool Or Something""",Eisenhower Administration
"Tuesday, May 18, 1954",New Looks,Congress
"Wednesday, May 19, 1954",School Bell,Supreme Court
"Thursday, May 20, 1954",[Untitled],Senate
"Friday, May 21, 1954","""That's Right -- Three""",Congress
"Sunday, May 23, 1954","""This Bores Me. Let's Amend The Constitution Today""",Congress
"Monday, May 24, 1954","""You Sure Everything's All Right, Foster?""",Eisenhower Administration
"Tuesday, May 25, 1954","""I'm Only Looking After Your Interests""",Army-McCarthy Hearings
"Wednesday, May 26, 1954",Brief Encounter,Eisenhower Administration
"Thursday, May 27, 1954","""Strange -- They Seem To Be The Same Footprints""",Eisenhower Administration
"Friday, May 28, 1954",A Little More Picture Cropping,Senate
"Sunday, May 30, 1954","""First Thing To Do Is Take Down Those Damn Plaques""",Eisenhower Administration
"Monday, May 31, 1954","""Ah, Yes -- We're Always Thinking About Atmoic Power""",Eisenhower Administration
"Tuesday, June 1, 1954","""How Long Is It Since We Unleashed Chiang Kai-shek?""",Eisenhower Administration
"Wednesday, June 2, 1954",[Untitled],Second Red Scare
"Thursday, June 3, 1954",[Untitled],Eisenhower Administration
"Friday, June 4, 1954","""Gosh, How I Hate That Poisonous Fruit""",Eisenhower Administration
"Sunday, June 6, 1954","""What's This About Your Letting the Common People Come in Here and Read Books?""",Congress
"Monday, June 7, 1954","""I Guess They're Trying to Sell Us on Socialism""",Congress
"Tuesday, June 8, 1954","""That's The Way It Looks, All Right""",Army-McCarthy Hearings
"Wednesday, June 9, 1954",Intervention,Congress
"Thursday, June 10, 1954","""Well, Why Doesn't He See A Psychiatrist?""",Army-McCarthy Hearings
"Friday, June 11, 1954",United Rear,First Indochina War
"Sunday, June 13, 1954","""Getting Late -- Got to Cut the Second Act --""",Army-McCarthy Hearings
"Monday, June 14, 1954","""You Go Back There and Tell Them I Said --""",Eisenhower Administration
"Tuesday, June 15, 1954","""Let's Hope Nobody Brings Politics Into This""",Army-McCarthy Hearings
"Wednesday, June 16, 1954","""Traveling Light""","Congressional Elections, 1954"
"Thursday, June 17, 1954","""I Pledge Allegiance to Joe McCarthy, and to the Committee Which Stands for Him ...""",Army-McCarthy Hearings
"Friday, June 18, 1954","""And Another Thing -- You Didn't Predict The 1947 Derby Winner""",Anti-Communism
"Sunday, June 20, 1954","""Be Nice to My Friend, Here -- Understand?""",Eisenhower Administration
"Monday, June 21, 1954",Upturn in Washington,Eisenhower Administration
"Tuesday, June 22, 1954","""Who's Ahead in the Defense Department?""",Cold War
"Wednesday, June 23, 1954","""What Makes You Think He's Not Neutral?""",Army-McCarthy Hearings
"Thursday, June 24, 1954","""Yessir -- Peacetime Use of Atomic Power""",Eisenhower Administration
"Friday, June 25, 1954","""Nonsense -- We Never Felt Better in My Life""",Republican Party
"Sunday, June 27, 1954","""Why Don't You Guys Saw the Boat in Half?""",Cold War
"Monday, June 28, 1954","""We want to Give These Some Very Deep Thought""",McCarthyism
"Tuesday, June 29, 1954","""Happy New Fiscal Year""",Eisenhower Administration
"Wednesday, June 30, 1954","""Look -- I've Got to Have More Support""",Eisenhower Administration
"Thursday, July 1, 1954","""Now for a Hell of a Putt""",Congress
"Friday, July 2, 1954","""Ah, Yes -- Isn't That Fellow McCarthy Terrible?""",Eisenhower Administration
"Sunday, July 4, 1954","""Sometimes We Almost Feel Like Giving The Kids a Break""",Eisenhower Administration
"Monday, July 5, 1954","""Can We Have Peaceful Co-Existence in Washington?""",Eisenhower Administration
"Tuesday, July 6, 1954","""It's a New Hybrid""",Congress
"Wednesday, July 7, 1954","""Let's Find Out How Truthful YOU Are""",Eisenhower Administration
"Thursday, July 8, 1954","""I May Just Yank Out The Whole Thing""",Senate
"Friday, July 9, 1954","""But How Do We Turn This Off""",Eisenhower Administration
"Sunday, July 11, 1954","""It's All His Fault -- If He Hadn't Lost the Election We Wouldn't Be in This Mess""",Republican Party
"Monday, July 12, 1954","""What Are You Doing With Your Second Chances?""",World Stability
"Tuesday, July 13, 1954","""Mind If I Take a Turn at It Too?""",Eisenhower Administration
"Tuesday, July 13, 1954","""They're Going By Awfully Fast, Aren't They?""",Eisenhower Administration
"Thursday, July 15, 1954","""Why, No. I Didn't Say 'Tick-Tock Tick-Tock.' Did You?""",Congress
"Friday, July 16, 1954",High Noon in Washington,Congress
"Sunday, July 18, 1954","""Can't I Go Back to Smashing Atoms?""",Eisenhower Administration
"Monday, July 19, 1954","""Here I am, Mister""",Congress
"Tuesday, July 20, 1954","""It Never Existed -- And I Killed It""",US Economy
"Wednesday, July 21, 1954",Cleanup In Washington,Eisenhower Administration
"Thursday, July 22, 1954","""Well, I Got Here""",First Indochina War
"Friday, July 23, 1954","""It Must Be Nice to Be a Friend of the President""",Eisenhower Administration
"Sunday, July 25, 1954","""Got Hit By An Atomic Debate""",Congress
"Monday, July 26, 1954","""Now, Class, What Have We Learned?""",World Stability
"Tuesday, July 27, 1954","""Your Leader Is Right Behind You, Men""",Senate
"Wednesday, July 28, 1954","""Just A Simple Yes-Or-No Answer""",Senate
"Thursday, July 29, 1954","""Some People Are Trying To Make A Feud Out Of This""",Senate
"Friday, July 30, 1954","""We Must Stop This Federal Interference""",Eisenhower Administration
"Sunday, August 1, 1954","""Try This On For Size And See Me Again Next Year""",Congress
"Monday, August 2, 1954","""Squanderer!""",Cold War
"Tuesday, August 3, 1954",Pussyfootprints On The Sands Of Time,McCarthyism
"Wednesday, August 4, 1954","""Notice Anything From Up There?""",Cold War
"Thursday, August 5, 1954","""There -- That's Another Thing Taken Care Of""",Congress
"Friday, August 6, 1954","""Okay, Men -- It's Safe to Come Out Now""",Senate
"Sunday, August 8, 1954","""Now Let's Not Make Any Snap Judgment""",Senate
"Monday, August 9, 1954","""State Rights"" Barometer",State Rights
"Tuesday, August 10, 1954","""Think That'll Hold It Till November 2nd?""",Senate
"Wednesday, August 11, 1954","""Stand Fast, Men -- They're Armed With Marshmallows""",Anti-Communism
"Thursday, August 12, 1954","""You Gentlemen Care To Hire A Shepherd?""",Cold War
"Friday, August 13, 1954",Cold Wave,Eisenhower Administration
"Sunday, August 15, 1954",McCarthy Marches On,"McCarthy, Joseph"
"Monday, August 16, 1954","""Are You Now Or Have You Ever Been A Member Of An Un-American School?""",Senate
"Tuesday, August 17, 1954","""The Back Seat Looks Familiar""",Congress
"Tuesday, August 17, 1954","""I Can Be Flexible""",Eisenhower Administration
"Wednesday, August 18, 1954","""Step Lively, Gents -- Next -- Okay, Next --""",Congress
"Thursday, August 19, 1954","""Thanks For The Compliment""",Congress
"Friday, August 20, 1954","""Oh -- I Thought It Was One Of Our New Jets""","Congressional Elections, 1954"
"Friday, August 20, 1954",Shivers,State Gubernatorial Elections
"Friday, August 20, 1954","""Everybody Right On Schedule""",Eisenhower Administration
"Saturday, August 21, 1954","""Blessings On Thee, Little Meek, Barefaced Boy, With Lots of Cheek""","Congressional Elections, 1954"
"Saturday, August 21, 1954","""Where You Going On Your Investigation This Year?""",Congress
"Sunday, August 22, 1954","""Dearie, I've Had The Flat Look For Years""",Europe
"Monday, August 23, 1954","""Plane To Tower -- Plane To Tower --""",World Stability
"Thursday, August 26, 1954","""It's Okay -- I'm Doing The Same Thing""","Congressional Elections, 1954"
"Friday, August 27, 1954","""Must Be Quite A Place""",Congress
"Monday, August 30, 1954","""How Are We Fixed For Jet-Propelled Ideas?""",Cold War
"Tuesday, August 31, 1954","""You Sure This Doesn't Violate Any States Rights?""",State Rights
"Wednesday, September 1, 1954","""Think Of Anything Yet?""",Eisenhower Administration
"Thursday, September 2, 1954","""A Strange Case, Doctor""",Congress
"Thursday, September 2, 1954","""What Do You Figure This One Would Cost?""",Senate
"Saturday, September 4, 1954","""Where Do They All Come From?""",Anti-Communism
"Tuesday, September 7, 1954","""Care To Look Over Our Line, Friend?""",Cold War
"Tuesday, September 14, 1954","""I Can't Do This To Me!""","McCarthy, Joseph"
"Wednesday, September 15, 1954","""Just Try It On For Size""","Taiwan Strait Crisis, 1954-1955"
"Thursday, September 16, 1954","""Just A Nice, Invigorating -- Cough -- North Breeze""","Congressional Elections, 1954"
"Thursday, September 16, 1954","""This Has Nothing To Do With Politics""",Eisenhower Administration
"Sunday, September 19, 1954","""A Fellow Can't Remember To Take Everything""",Eisenhower Administration
"Monday, September 20, 1954",The Open Door,Congress
"Tuesday, September 21, 1954","""Mind If I Use The Same Text?""","Congressional Elections, 1954"
"Wednesday, September 22, 1954","""Hey -- What About The Man?""",Europe
"Thursday, September 23, 1954","""Some Day That'll All Be Done by Atomic Power""",Congress
"Friday, September 24, 1954","""You Mean Us? You Mean Now?""",Senate
"Sunday, September 26, 1954","""Goodness -- Is That The Way I Look?""",Eisenhower Administration
"Monday, September 27, 1954",Warm Days At The Steam Plant,Eisenhower Administration
"Tuesday, September 28, 1954",Point Of Order,"McCarthy, Joseph"
"Wednesday, September 29, 1954","""Hold Everything, Fellows""",Baseball
"Thursday, September 30, 1954","""Yes, Dear"" ""Yes, Dear"" ""Yes, Dear""",Europe
"Friday, October 1, 1954",Inside Dope,Second Red Scare
"Sunday, October 3, 1954","""You Used To Think He Was Fascinating""","McCarthy, Joseph"
"Monday, October 4, 1954",Channel Crossing,Europe
"Tuesday, October 5, 1954","""Pleased To Meet You, I Think""",Europe
"Wednesday, October 6, 1954","""I Had It In That Same Bag In 1948""","Congressional Elections, 1954"
"Thursday, October 7, 1954",Saturday Night In Western Europe,Europe
"Thursday, October 7, 1954","""Carry On, Lads""",McCarthyism
"Friday, October 8, 1954","""The Top Top One? That's The Dixon-Yates Contract""",Eisenhower Administration
"Sunday, October 10, 1954","""This Could Be Very Interesting""","Congressional Elections, 1954"
"Monday, October 11, 1954","""Care To Step In Here To Study The Problem?""",Congress
"Tuesday, October 12, 1954","""Beat It -- We've Got An Election To Win""","Congressional Elections, 1954"
"Wednesday, October 13, 1954","""Yoo Hoo -- Charlie""",Eisenhower Administration
"Thursday, October 14, 1954","""What Was Wrong With Charlie's Crack About Dogs?""",Eisenhower Administration
"Friday, October 15, 1954","""Listen -- I'm Getting Worried About My Own Power""",Eisenhower Administration
"Sunday, October 17, 1954","""Hi, Everybody -- What's Cooking?""",Eisenhower Administration
"Monday, October 18, 1954","""Heart Attack, Poor Chap. Send Flowers And List Him As A Security Risk""",Eisenhower Administration
"Tuesday, October 19, 1954","""See How Hard We're Working For German Unity?""",Cold War
"Wednesday, October 20, 1954","""That's No Eagle""",Eisenhower Administration
"Thursday, October 21, 1954","""Come On, Joe -- Don't Be Bashful""","McCarthy, Joseph"
"Friday, October 22, 1954","""One Of Our Aircraft Is Missing""",McCarthyism
"Friday, October 22, 1954","""Lights -- Cameras -- Washbasin -- Towel --""","Congressional Elections, 1954"
"Sunday, October 24, 1954","""Ha Ha Ha Ha -- Ouch --""","Congressional Elections, 1954"
"Monday, October 25, 1954","""Something's Wrong. Last Time HE Was Running Scared""","Congressional Elections, 1954"
"Tuesday, October 26, 1954",Dickey,"Nixon, Richard"
"Tuesday, October 26, 1954","""Long Life""",Europe
"Wednesday, October 27, 1954","""Y'Mean The Talk Of Unemployment Wasn't Just Talk?""",Eisenhower Administration
"Thursday, October 28, 1954",[Untitled],Eisenhower Administration
"Thursday, October 28, 1954","""Now, See That Nobody Gets Into These Peanuts""",Eisenhower Administration
"Friday, October 29, 1954","""Not Yet! Not Yet!""",Eisenhower Administration
"Friday, October 29, 1954","""Here He Comes Now""","Congressional Elections, 1954"
"Sunday, October 31, 1954","""It's Interesting To See What They're Doing In The United States""","Congressional Elections, 1954"
"Monday, November 1, 1954","""Oh, Say, Can You See --""","Congressional Elections, 1954"
"Tuesday, November 2, 1954","""Something In The Wind?""",Cold War
"Wednesday, November 3, 1954","""-- 41 -- 42 -- 43 -- 44 --""","Congressional Elections, 1954"
"Thursday, November 4, 1954","""Close Man With A Razor, Isn't He?""","Congressional Elections, 1954"
"Friday, November 5, 1954","""Timber!""","Congressional Elections, 1954"
"Sunday, November 7, 1954","""How Long Do You Think It'll Stay Radioactive?""",Eisenhower Administration
"Monday, November 8, 1954","""Now""","McCarthy, Joseph"
"Tuesday, November 9, 1954","""Now, Don't Be Afraid To Speak Frankly""",Eisenhower Administration
"Wednesday, November 10, 1954","""How Do You Feel About -- Uh -- Nonaggression Pacts?""",Eisenhower Administration
"Thursday, November 11, 1954",Now We've Got a Man Who'll Turn His Back on Anybody',Eisenhower Administration
"Friday, November 12, 1954","""Hurry, Friend -- There's Not A Moment To Lose""",Eisenhower Administration
"Saturday, November 13, 1954","""Just A Little Watering Down, Boys""",Senate
"Sunday, November 14, 1954","""Official Statement -- Politics Is Not Interfering With Our Work --""",Eisenhower Administration
"Monday, November 15, 1954","""This Is Serious -- Get Me The Republican National Committee""",Cold War
"Tuesday, November 16, 1954","""Be Constructive. Ask What He Wants For Christmas""",Senate
"Wednesday, November 17, 1954","""You're Not Here To Think, Mister""",Eisenhower Administration
"Thursday, November 18, 1954","""Is There Somewhere Else To Go?""",Cold War
"Friday, November 19, 1954","""You Think -- ?""",Congress
"Sunday, November 21, 1954","""Imagine Me Playing Cupid""",Cold War
"Monday, November 22, 1954",[Untitled],Senate
"Tuesday, November 23, 1954","""As A Final Offer, I'll Give You Time To Reconsider""",Europe
"Wednesday, November 24, 1954","""For Heaven's Sake, Use More Restraint Than I Did""",Congress
"Thursday, November 25, 1954","""What Was It We Came Back For?""",Senate
"Friday, November 26, 1954","""Do You Mind If We Put Another Aisle In Here?""",Senate
"Sunday, November 28, 1954","""Go NOW To Your Nearest Store --""",US Economy
"Monday, November 29, 1954","""Hey -- We've Found A Ship Over Here Too""",Congress
"Tuesday, November 30, 1954","Still, Small Voice",Senate
"Wednesday, December 1, 1954","""This Isn't The Kind Of Blockade I Had In Mind""",Congress
"Thursday, December 2, 1954","""It Needs Something At The Bottom""",Eisenhower Administration
"Friday, December 3, 1954",[Untitled],Senate
"Sunday, December 5, 1954","""You Sure This Road Is Safe Now?""",US Economy
"Monday, December 6, 1954","""Come On -- Let's Take The Short-Cut""",Eisenhower Administration
"Tuesday, December 7, 1954","""Of Course, You Might Want To Fix It Up A Little""",Congress
"Wednesday, December 8, 1954","""It Breaks My Heart To See Those Sad Little Tykes""",Eisenhower Administration
"Thursday, December 9, 1954","""Hold It, George -- We've Decided To Try For A Balanced World""",Eisenhower Administration
"Friday, December 10, 1954","""I Just Want To Know Which Minority?""",Senate
"Sunday, December 12, 1954","""You Sure You Don't Want To Run Away From Home?""",Republican Party
"Monday, December 13, 1954","""Who Said, 'What Have We Been Doing Up Till Now?'""",Soviet Union
"Tuesday, December 14, 1954",[Untitled],Eisenhower Administration
"Wednesday, December 15, 1954","""Odd How Many Of Them Drop Out, Isn't It?""",Eisenhower Administration
"Thursday, December 16, 1954","""Whew -- For A While I Thought You Were A Goner""",Eisenhower Administration
"Friday, December 17, 1954","""Dear, I Still Think We Should Have Had This Cleared With The Department""",Eisenhower Administration
"Sunday, December 19, 1954","""How's It Going?""",Eisenhower Administration
"Monday, December 20, 1954","""But I Thought He Was Coming For Sure This Time""",Eisenhower Administration
"Tuesday, December 21, 1954","""That's The Trouble With This Country -- Foundations""",Congress
"Wednesday, December 22, 1954","""See -- We're Completely Impartial In Our Unfairness""",Congress
"Thursday, December 23, 1954","""Looks Like A New Kind Of Plowing-Under Program""",Eisenhower Administration
"Friday, December 24, 1954","""He's Carrying The Crystal Ball For A Gain, Folks""",US Economy
"Saturday, December 25, 1954",[Untitled],Christmas
"Sunday, December 26, 1954","""Wait a Minute -- One at a Time!""","Presidential Election, 1956"
"Monday, December 27, 1954","""Where's The Exchange Department, Jack?""",Congress
"Tuesday, December 28, 1954","""Speaking Of States Of The Union --""",Eisenhower Administration
"Wednesday, December 29, 1954","""That's the Kind We Want -- You Can See Just What He's Not Thinking""",Eisenhower Administration
"Thursday, December 30, 1954",[Untitled],Eisenhower Administration
"Friday, December 31, 1954","""Whew -- That Was Almost As Nerve-Wracking As Watching Congress""",France
"Sunday, January 2, 1955","""Backward People""",Eisenhower Administration
"Monday, January 3, 1955","""Yaaaa -- We've Got More Security Than You Have""",Eisenhower Administration
"Tuesday, January 4, 1955",All Quiet Along the Potomac,Congress
"Wednesday, January 5, 1955","""Dear Friends --""",Eisenhower Administration
"Thursday, January 6, 1955","""Care To Start Making Changes Here?""",Congress
"Friday, January 7, 1955","""What's the State of the Political Union?""",Eisenhower Administration
"Saturday, January 8, 1955","""Can You Win Some Seats For Us Too, Mister?""",Congress
"Sunday, January 9, 1955","""Gee -- This Looks Interesting""",US Economy
"Monday, January 10, 1955","""You Mean Little Ol' Me?""",Eisenhower Administration
"Tuesday, January 11, 1955","""Yoo Hoo There, My Good Friend""",Eisenhower Administration
"Wednesday, January 12, 1955","""Who's Your Friend?""",Congress
"Thursday, January 13, 1955","""Anchors Aweigh""",Eisenhower Administration
"Friday, January 14, 1955","""Sweetest Little Feller -- Everybody Knows --""",Eisenhower Administration
"Sunday, January 16, 1955","""Yeah, Uh Huh, Sounds Fine --""",Eisenhower Administration
"Monday, January 17, 1955","""Now Run Along And Play""",Eisenhower Administration
"Tuesday, January 18, 1955","""Okay -- Cut Out The Laughing And Let's Read This""",Congress
"Wednesday, January 19, 1955","""Maybe There'll Be A Sequel""",Eisenhower Administration
"Thursday, January 20, 1955","""Boss, I Don't Think He Wants Me In There""",Anti-Communism
"Friday, January 21, 1955","""Hey -- Does It Feel As If We're Beginning To Move?""",Eisenhower Administration
"Sunday, January 23, 1955","""I Said, '-- And Probably A Tax Cut Next Year'""",Eisenhower Administration
"Monday, January 24, 1955","""Anything In There About Butter, Foster?""",Eisenhower Administration
"Tuesday, January 25, 1955","""To Whom It May Concern --""",Eisenhower Administration
"Wednesday, January 26, 1955","""We Want To Try Liberating The Girl""","Taiwan Strait Crisis, 1954-1955"
"Thursday, January 27, 1955",Fog Area,"Taiwan Strait Crisis, 1954-1955"
"Friday, January 28, 1955","""Hey!""",Eisenhower Administration
"Sunday, January 30, 1955","""Got Time For A Few Questions, Mac?""",Congress
"Monday, January 31, 1955",Emergency Alarm,Congress
"Tuesday, February 1, 1955","""Could I See You Alone A Minute?""",Eisenhower Administration
"Wednesday, February 2, 1955","""This Could Spoil The Whole Racket, Men""",Anti-Communism
"Thursday, February 3, 1955","""Shall We All Recognize The Situation?""","Taiwan Strait Crisis, 1954-1955"
"Friday, February 4, 1955",Beloved Enemy,"Taiwan Strait Crisis, 1954-1955"
"Sunday, February 6, 1955","""And They Used To Say I Was Stubborn""",Eisenhower Administration
"Monday, February 7, 1955","""Just A Routine Check-Up""",Senate
"Tuesday, February 8, 1955","""Exactly! There's A Plot To Make Us Look Foolish""",Congress
"Wednesday, February 9, 1955","""Ever Listen To The Radio, Comrade?""",Soviet Union
