Date of Cartoon,Title,Major Subject
"Sunday, January 1, 1950","""Should Auld Acquaintance Be Forgot Š—_""","Congressional Elections, 1950"
"Monday, January 2, 1950","""Nobody Can Say We Don't Tolerate Opposition""",Argentina
"Tuesday, January 3, 1950","""Nothing Personal, Pal -- I Just Need The Business""",Senate
"Wednesday, January 4, 1950","""You Can Still Catch The Boat If You Hurry!""",Truman Administration
"Thursday, January 5, 1950","""Wait A Minute, Fellas -- Don't Go Yet""",Congress
"Friday, January 6, 1950","""Remember Me, Partner? We Met This Guy Together""",Truman Administration
"Sunday, January 8, 1950","""You Seen An Oculist Lately, Boy?""",Cold War
"Monday, January 9, 1950","""Maybe We'd Better Do our Campaigning Right Here""",Congress
"Tuesday, January 10, 1950","""And In This Corner --""",Truman Administration
"Wednesday, January 11, 1950","""There Must Be Some Better Way We Can Run This""",Congress
"Thursday, January 12, 1950","""Eh?""",Truman Administration
"Friday, January 13, 1950","""No Stirring Call To Arms On This?""",Congress
"Sunday, January 15, 1950","""The Federal Government Mustn't Become Too Paternal!""",Congress
"Monday, January 16, 1950","""You Poor Kid. All Those Unruly Sheep To Look After""",Congress
"Tuesday, January 17, 1950","""Want To Meet My Friend Too?""",World Stability
"Wednesday, January 18, 1950","""We Got A Right To Look Into Things, Ain't We?""",Congress
"Thursday, January 19, 1950","""Sure I'm Consistent. What Could Be More Isolated?""",Congress
"Friday, January 20, 1950",Wrong Number,Truman Administration
"Sunday, January 22, 1950","""Careful You Don't Go Over Any Bumps With This""",Truman Administration
"Monday, January 23, 1950","""Hold It, Fellows. Better Put In Revolving Doors""",United Nations
"Tuesday, January 24, 1950","""Why Ain't It Stuck In Formosa?""",Congress
"Wednesday, January 25, 1950",Big Parade,Congress
"Thursday, January 26, 1950","""Hello, Dear, And All You Boys On The Wire Taps""",Congress
"Friday, January 27, 1950","""Wanta Let People Vote Fer President, Eh?""",Presidential Elections--Process
"Sunday, January 29, 1950","""Boo Yourself!""",Senate
"Monday, January 30, 1950",New Atomic Cloud,Truman Administration
"Tuesday, January 31, 1950","""That's The Line We Want To Get Across, Pal""",Anti-Communism
"Wednesday, February 1, 1950",Hot Potato,Truman Administration
"Thursday, February 2, 1950","""One Of Us Is Going To Settle Things For A Long Time""",World Stability
"Friday, February 3, 1950","""The Question Is, How Fast Can YOU Work?""",Congress
