Date of Cartoon,Title,Major Subject
"Thursday, January 1, 1970","""Man, We're Really Living High""",US Economy
"Friday, January 2, 1970","""But If We Were Actually To Attack The Crime Problem, That Might Cost Money!""",Nixon Administration
"Sunday, January 4, 1970","""What's The Outlook For The Last Thirty Years Of This Century?""",Pollution
"Tuesday, January 6, 1970","""It Gives You A Chance To Be Right On The Spot When Trouble Breaks Out""",Nixon Administration
"Wednesday, January 7, 1970","""Blame That Darn Balloon For Taking Me So High""",US Economy
"Thursday, January 8, 1970",Housing Notes From All Over,Nixon Administration
"Friday, January 9, 1970",Mine Vigil,Assassination
"Sunday, January 11, 1970","""Is There A Referee In The House?""",Weather
"Tuesday, January 13, 1970","""I Haven't Agreed To Any Armistice""",Nigeria
"Wednesday, January 14, 1970","""And This Deluxe Model Comes Equipped With Telephone So We Can Reach You At Once To Tell You About Its Hazardous Defects""",Automotive Industry
"Thursday, January 15, 1970","""As We Were Saying A Couple Of Years Ago, We Don't Agree With What You Say""",Nixon Administration
"Friday, January 16, 1970","""That's Not An Enemy Attack, Children -- Those Are Friendly Fellow-Americans""",Pollution
"Sunday, January 18, 1970",Taped,Nixon Administration
"Tuesday, January 20, 1970","""Wild Crazy Inflationary Kids!""",Nixon Administration
"Wednesday, January 21, 1970","""Never Mind Why -- Just Get Rid Of All Those Stupid Balloon Pictures""",US Economy
"Thursday, January 22, 1970","""Baby, It's Cold Inside""",Urban Issues
"Friday, January 23, 1970","""Don't Be Such A Strict Constructionist""",Supreme Court
"Sunday, January 25, 1970","""And Next -- Our Superduper Jumbo Jet, Which Will Eliminate All Takeoff And Landing Problems""",Air Travel
"Tuesday, January 27, 1970",Math Lesson,Nixon Administration
"Wednesday, January 28, 1970","""Ah, But For Several Days Now He's Found That Sort Of Thing Abhorrent""",Supreme Court
"Thursday, January 29, 1970","""No Time For Thorough Investigations -- We're In A Hurry Now""",Supreme Court
"Friday, January 30, 1970","""Well, Let's Run It Up Pennsylvania Avenue And See If Anybody Salutes""","Nixon, Richard"
"Sunday, February 1, 1970","""It's Like Nixon Said -- There's Hardly Anyone Around Who Hasn't Helped Change A Public Golf Course Into A Private Segregated Club""",Supreme Court
"Tuesday, February 3, 1970","""What Do You Expect For A Lousy Ten Or Twelve Billion Bucks?""",Nixon Administration
"Wednesday, February 4, 1970",Smokesky The Bear,Middle East
"Thursday, February 5, 1970",The Second Shoe,Nixon Administration
"Friday, February 6, 1970","""Relax, Folks -- We're Wearing White Hats""",Nixon Administration
"Sunday, February 8, 1970","""He Has Just The Stature We Need For The Kind Of Bench We Want""",Supreme Court
"Tuesday, February 10, 1970","""He's Always Been Most Convincing In A Small Group""","Johnson, Lyndon B."
"Wednesday, February 11, 1970","""On The Other Hand, Why Should A Golf Pro Be Any Exception?""",Nixon Administration
"Thursday, February 12, 1970","""Secretary Laird, Meet General Lard""",Nixon Administration
"Friday, February 13, 1970","""You Can't Have A Balanced Court If They ALL Believe In Civil Rights""",Supreme Court
